상품군별,범위별,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01 p),2021. 02 p)
문화 및 레저서비스,계,"164,254","123,892","138,133","119,599","133,785","144,311","151,647","184,883","127,031","179,505","145,082","207,050","182,387","151,838","171,416","164,965","153,740","169,621","164,228","213,527","183,281","186,480","187,011","196,749","167,713","182,936","176,085","200,034","204,178","248,326","215,929","220,069","166,651","206,700","206,813","184,605","163,257","65,598","37,504","47,288","75,411","71,150","100,756","81,853","62,151","102,261","71,956","13,390","34,316","76,700"
,종합몰,"85,512","74,093","90,719","76,449","65,767","89,547","80,678","84,701","77,623","98,821","106,177","123,824","104,882","90,887","115,633","79,720","72,724","92,827","73,594","83,447","93,017","112,789","112,801","104,796","81,403","68,241","82,529","86,424","82,340","98,212","74,563","80,794","74,911","97,841","95,627","84,016","78,880","29,168","12,779","19,782","39,790","25,839","49,662","22,487","18,647","47,627","43,233","9,187","21,001","45,995"
,전문몰,"78,742","49,799","47,414","43,150","68,018","54,764","70,969","100,182","49,408","80,684","38,905","83,226","77,505","60,951","55,783","85,245","81,016","76,794","90,634","130,080","90,264","73,691","74,210","91,953","86,310","114,695","93,556","113,610","121,838","150,114","141,366","139,275","91,740","108,859","111,186","100,589","84,377","36,430","24,725","27,506","35,621","45,311","51,094","59,366","43,504","54,634","28,723","4,203","13,315","30,705"
e쿠폰서비스,계,"88,648","80,796","90,149","84,933","98,613","95,019","91,627","100,868","100,399","96,038","124,328","150,210","105,594","129,231","139,594","133,138","169,050","165,691","171,906","180,791","203,876","202,733","239,185","267,753","240,122","234,109","257,544","226,798","275,980","259,856","282,476","309,178","276,810","302,371","369,420","345,362","311,692","329,168","353,174","338,952","344,708","314,304","336,553","350,128","401,636","356,650","398,516","430,739","440,480","386,727"
,종합몰,"84,442","77,196","86,439","81,337","94,049","91,796","88,163","96,970","95,652","91,829","118,643","142,817","100,692","123,477","134,838","128,762","163,745","161,475","167,406","175,036","197,932","198,137","233,031","258,509","230,335","225,435","248,306","217,302","265,080","250,897","271,501","298,900","265,898","291,401","356,733","328,055","299,243","318,870","341,093","322,779","330,279","303,951","321,696","339,798","387,165","345,787","387,388","411,976","427,533","367,743"
,전문몰,"4,206","3,600","3,710","3,596","4,564","3,223","3,464","3,898","4,747","4,209","5,685","7,393","4,902","5,754","4,756","4,376","5,305","4,216","4,500","5,755","5,944","4,596","6,154","9,244","9,787","8,674","9,238","9,496","10,900","8,959","10,975","10,278","10,912","10,970","12,687","17,307","12,449","10,298","12,081","16,173","14,429","10,353","14,857","10,330","14,471","10,863","11,128","18,763","12,947","18,984"
음식서비스,계,"183,355","173,924","192,095","196,543","210,565","195,630","224,624","253,760","239,118","242,774","280,640","339,540","347,457","324,245","361,763","365,956","389,395","413,053","456,927","496,930","463,750","502,456","510,496","630,349","621,909","614,963","694,509","686,320","742,382","774,478","828,915","917,005","854,892","913,722","1,026,981","1,059,286","1,063,760","1,135,266","1,252,396","1,263,087","1,320,737","1,253,393","1,378,555","1,676,636","1,603,571","1,546,299","1,642,587","2,197,328","2,031,039","1,868,490"
,종합몰,"6,624","5,015","5,406","6,973","5,303","5,432","5,543","6,427","5,664","6,200","5,420","4,669","3,120","2,764","4,286","3,706","4,092","4,465","5,161","5,994","5,925","6,721","7,167","9,246","8,860","7,796","8,882","8,139","8,711","9,207","9,432","8,617","8,490","10,288","11,339","13,650","14,676","17,340","20,297","19,874","20,150","19,877","21,120","25,959","24,571","23,909","24,046","30,535","27,360","24,010"
,전문몰,"176,731","168,909","186,689","189,570","205,262","190,198","219,081","247,333","233,454","236,574","275,220","334,871","344,337","321,481","357,477","362,250","385,303","408,588","451,766","490,936","457,825","495,735","503,329","621,103","613,049","607,167","685,627","678,181","733,671","765,271","819,483","908,388","846,402","903,434","1,015,642","1,045,636","1,049,084","1,117,926","1,232,099","1,243,213","1,300,587","1,233,516","1,357,435","1,650,677","1,579,000","1,522,390","1,618,541","2,166,793","2,003,679","1,844,480"
기타서비스,계,"65,597","40,733","35,946","53,217","43,491","41,104","52,019","52,619","124,287","52,464","56,711","56,692","73,143","57,680","61,834","62,168","58,382","59,336","62,419","62,096","133,184","75,523","75,220","78,190","97,802","77,885","78,986","79,595","90,207","87,966","96,756","129,122","174,802","121,149","134,574","180,256","172,868","162,296","79,472","130,129","103,855","110,438","118,507","167,849","146,429","165,296","133,133","145,447","168,967","166,790"
,종합몰,"21,586","16,766","14,624","30,009","24,092","22,681","27,804","31,859","27,433","24,566","27,620","26,217","28,555","30,599","32,855","38,469","34,617","35,901","37,125","37,691","39,880","37,761","41,534","42,152","32,210","32,223","37,837","35,284","47,920","46,462","57,391","86,447","67,136","71,022","80,985","114,148","110,578","116,932","43,739","94,240","64,994","66,095","75,477","126,864","75,548","70,569","87,759","82,339","116,548","133,971"
,전문몰,"44,011","23,967","21,322","23,208","19,399","18,423","24,215","20,760","96,854","27,898","29,091","30,475","44,588","27,081","28,979","23,699","23,765","23,435","25,294","24,405","93,304","37,762","33,686","36,038","65,592","45,662","41,149","44,311","42,287","41,504","39,365","42,675","107,666","50,127","53,589","66,108","62,290","45,364","35,733","35,889","38,861","44,343","43,030","40,985","70,881","94,727","45,374","63,108","52,419","32,819"
기타,계,"144,492","141,578","175,648","163,064","164,517","180,332","169,045","179,305","192,273","171,293","219,066","273,094","227,959","224,621","277,245","221,213","222,905","200,405","201,779","202,654","220,440","241,164","311,896","313,984","223,939","221,598","327,742","195,957","195,838","161,668","182,308","203,535","192,953","206,265","206,900","213,645","342,127","325,178","329,653","257,130","326,793","296,303","317,804","371,952","290,359","287,544","331,250","367,440","316,932","270,349"
,종합몰,"114,606","114,289","145,691","134,148","138,473","151,350","140,285","146,647","159,097","140,820","183,486","238,802","184,708","192,726","239,406","177,748","180,237","158,754","162,037","165,379","182,309","200,975","256,917","267,193","168,422","186,215","282,624","142,303","151,197","123,151","135,500","157,872","152,259","155,636","154,245","154,233","292,804","271,529","255,627","199,744","275,569","243,461","262,822","321,047","227,362","218,404","256,436","271,696","216,445","196,512"
,전문몰,"29,886","27,289","29,957","28,916","26,044","28,982","28,760","32,658","33,176","30,473","35,580","34,292","43,251","31,895","37,839","43,465","42,668","41,651","39,742","37,275","38,131","40,189","54,979","46,791","55,517","35,383","45,118","53,654","44,641","38,517","46,808","45,663","40,694","50,629","52,655","59,412","49,323","53,649","74,026","57,386","51,224","52,842","54,982","50,905","62,997","69,140","74,814","95,744","100,487","73,837"
